Date,Album,AlbumURL,AlbumImageURL,AlbumImageSource,Artist,ArtistURL
1960-01-04,Here We Go Again!,https://en.wikipedia.org/wiki/Here_We_Go_Again!,https://upload.wikimedia.org/wikipedia/en/0/09/Herewegoagain.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-01-11,Here We Go Again!,https://en.wikipedia.org/wiki/Here_We_Go_Again!,https://upload.wikimedia.org/wikipedia/en/0/09/Herewegoagain.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-01-18,Here We Go Again!,https://en.wikipedia.org/wiki/Here_We_Go_Again!,https://upload.wikimedia.org/wikipedia/en/0/09/Herewegoagain.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-01-25,Here We Go Again!,https://en.wikipedia.org/wiki/Here_We_Go_Again!,https://upload.wikimedia.org/wikipedia/en/0/09/Herewegoagain.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-02-01,Here We Go Again!,https://en.wikipedia.org/wiki/Here_We_Go_Again!,https://upload.wikimedia.org/wikipedia/en/0/09/Herewegoagain.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-02-08,Here We Go Again!,https://en.wikipedia.org/wiki/Here_We_Go_Again!,https://upload.wikimedia.org/wikipedia/en/0/09/Herewegoagain.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-02-15,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-02-22,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-02-29,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-03-07,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-03-14,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-03-21,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-03-28,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-04-04,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-04-11,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-04-18,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-04-25,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-05-02,The Sound of Music,,https://upload.wikimedia.org/wikipedia/en/6/65/Musical1959-SoundOfMusic-OriginalPoster.jpg,,Original Cast,
1960-05-09,Theme From A Summer Place,https://en.wikipedia.org/wiki/Theme_From_A_Summer_Place,https://img.discogs.com/ygC0xzm_kX7qNjmKQiTMgbumdfs=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3040743-1389543385-8371.jpeg.jpg,https://www.discogs.com/Billy-Vaughn-And-His-Orchestra-Theme-From-A-Summer-Place/master/508137,Billy Vaughn and His Orchestra,https://en.wikipedia.org/wiki/Billy_Vaughn
1960-05-16,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-05-23,Theme From A Summer Place,https://en.wikipedia.org/wiki/Theme_From_A_Summer_Place,https://img.discogs.com/ygC0xzm_kX7qNjmKQiTMgbumdfs=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3040743-1389543385-8371.jpeg.jpg,https://www.discogs.com/Billy-Vaughn-And-His-Orchestra-Theme-From-A-Summer-Place/master/508137,Billy Vaughn and His Orchestra,https://en.wikipedia.org/wiki/Billy_Vaughn
1960-05-30,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-06-06,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-06-13,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-06-20,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-06-27,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-07-04,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-07-11,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-07-18,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-07-25,Sold Out,https://en.wikipedia.org/wiki/Sold_Out_(Kingston_Trio_album),https://upload.wikimedia.org/wikipedia/en/6/69/Soldoutkingstontrio.jpg,,The Kingston Trio,https://en.wikipedia.org/wiki/The_Kingston_Trio
1960-08-01,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-08-08,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-08-15,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-08-22,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-08-29,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-09-05,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
1960-09-12,The Button-Down Mind of Bob Newhart,https://en.wikipedia.org/wiki/The_Button-Down_Mind_of_Bob_Newhart,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Button-Down_Mind_of_Bob_Newhart.png,,Bob Newhart,https://en.wikipedia.org/wiki/Bob_Newhart
