Label name,UNHCR Country name,CIA country name,TopoJSON Name
Afghanistan,Afghanistan,Afghanistan,Afghanistan
Albania,Albania,Albania,Albania
Algeria,Algeria,Algeria,Algeria
Andorra,Andorra,Andorra,Andorra
Angola,Angola,Angola,Angola
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina,Argentina,Argentina
Armenia,Armenia,Armenia,Armenia
Australia,Australia,Australia,Australia
Austria,Austria,Austria,Austria
Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
Bahamas,Bahamas,"Bahamas, The",Bahamas
Bahrain,Bahrain,Bahrain,Bahrain
Bangladesh,Bangladesh,Bangladesh,Bangladesh
Barbados,Barbados,Barbados,Barbados
Belarus,Belarus,Belarus,Belarus
Belgium,Belgium,Belgium,Belgium
Belize,Belize,Belize,Belize
Benin,Benin,Benin,Benin
Bermuda,Bermuda,Bermuda,Bermuda
Bhutan,Bhutan,Bhutan,Bhutan
Bolivia,Bolivia (Plurinational State of),Bolivia,Bolivia (Plurinational State of)
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana,Botswana,Botswana
Brazil,Brazil,Brazil,Brazil
Brunei,Brunei Darussalam,Brunei,Brunei Darussalam
Bulgaria,Bulgaria,Bulgaria,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
Burma,Myanmar,Burma,Myanmar
Burundi,Burundi,Burundi,Burundi
Cabo Verde,Cabo Verde,Cabo Verde,Cabo Verde
Cambodia,Cambodia,Cambodia,Cambodia
Cameroon,Cameroon,Cameroon,Cameroon
Canada,Canada,Canada,Canada
Cayman Islands,Cayman Islands,Cayman Islands,Cayman Islands
Central African Republic,Central African Rep.,Central African Republic,Central African Rep.
Chad,Chad,Chad,Chad
Chile,Chile,Chile,Chile
China,China,China,China
Colombia,Colombia,Colombia,Colombia
Comoros,Comoros,Comoros,Comoros
Costa Rica,Costa Rica,Costa Rica,Costa Rica
Cote d'Ivoire,C??te d'Ivoire,Cote d'Ivoire,C??te d'Ivoire
Croatia,Croatia,Croatia,Croatia
Cuba,Cuba,Cuba,Cuba
Cyprus,Cyprus,Cyprus,Cyprus
Czech Republic,Czech Rep.,Czech Republic,Czech Republic
Democratic Republic of the Congo,Dem. Rep. of the Congo,"Congo, Democratic Republic of the","Congo, the Democratic Republic of the"
Denmark,Denmark,Denmark,Denmark
Djibouti,Djibouti,Djibouti,Djibouti
Dominica,Dominica,Dominica,Dominica
Dominican Rep.,Dominican Rep.,Dominican Republic,Dominican Republic
Ecuador,Ecuador,Ecuador,Ecuador
Egypt,Egypt,Egypt,Egypt
El Salvador,El Salvador,El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea,Eritrea,Eritrea
Estonia,Estonia,Estonia,Estonia
Ethiopia,Ethiopia,Ethiopia,Ethiopia
Fiji,Fiji,Fiji,Fiji
Finland,Finland,Finland,Finland
France,France,France,France
Gabon,Gabon,Gabon,Gabon
Gambia,Gambia,"Gambia, The",Gambia
Georgia,Georgia,Georgia,Georgia
Germany,Germany,Germany,Germany
Ghana,Ghana,Ghana,Ghana
Greece,Greece,Greece,Greece
Grenada,Grenada,Grenada,Grenada
Guatemala,Guatemala,Guatemala,Guatemala
Guinea,Guinea,Guinea,Guinea
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
Guyana,Guyana,Guyana,Guyana
Haiti,Haiti,Haiti,Haiti
Honduras,Honduras,Honduras,Honduras
Hong Kong,"China, Hong Kong SAR",Hong Kong,Hong Kong
Hungary,Hungary,Hungary,Hungary
Iceland,Iceland,Iceland,Iceland
India,India,India,India
Indonesia,Indonesia,Indonesia,Indonesia
Iran,Iran (Islamic Rep. of),Iran,"Iran, Islamic Republic of"
Iraq,Iraq,Iraq,Iraq
Ireland,Ireland,Ireland,Ireland
Israel,Israel,Israel,Israel
Italy,Italy,Italy,Italy
Jamaica,Jamaica,Jamaica,Jamaica
Japan,Japan,Japan,Japan
Japan,Japan,Japan,Japan
Jordan,Jordan,Jordan,Jordan
Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Kenya,Kenya,Kenya,Kenya
Kiribati,Kiribati,Kiribati,Kiribati
Kosovo,Serbia and Kosovo (S/RES/1244 (1999)),Kosovo,Kosovo
Kuwait,Kuwait,Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
Laos,Lao People's Dem. Rep.,Laos,Lao People's Democratic Republic
Latvia,Latvia,Latvia,Latvia
Lebanon,Lebanon,Lebanon,Lebanon
Lesotho,Lesotho,Lesotho,Lesotho
Liberia,Liberia,Liberia,Liberia
Libya,Libya,Libya,Libya
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
Lithuania,Lithuania,Lithuania,Lithuania
Luxembourg,Luxembourg,Luxembourg,Luxembourg
Macau,"China, Macao SAR",Macau,Macao
Macedonia,The former Yugoslav Rep. of Macedonia,Macedonia,"Macedonia, the former Yugoslav Republic of"
Madagascar,Madagascar,Madagascar,Madagascar
Malawi,Malawi,Malawi,Malawi
Malaysia,Malaysia,Malaysia,Malaysia
Maldives,Maldives,Maldives,Maldives
Mali,Mali,Mali,Mali
Malta,Malta,Malta,Malta
Mauritania,Mauritania,Mauritania,Mauritania
Mauritius,Mauritius,Mauritius,Mauritius
Mexico,Mexico,Mexico,Mexico
Micronesia,Micronesia (Federated States of),Micronesia,"Micronesia, Federated States of"
Monaco,Monaco,Monaco,Monaco
Mongolia,Mongolia,Mongolia,Mongolia
Montenegro,Montenegro,Montenegro,Montenegro
Morocco,Morocco,Morocco,Morocco
Mozambique,Mozambique,Mozambique,Mozambique
Myanmar,Myanmar,Myanmar,Myanmar
Namibia,Namibia,Namibia,Namibia
Nauru,Nauru,Nauru,Nauru
Nepal,Nepal,Nepal,Nepal
Netherlands,Netherlands,Netherlands,Netherlands
New Caledonia,New Caledonia,New Caledonia,New Caledonia
New Zealand,New Zealand,New Zealand,New Zealand
Nicaragua,Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Niger,Niger
Nigeria,Nigeria,Nigeria,Nigeria
North Korea,Dem. People's Rep. of Korea,"Korea, North","Korea, Democratic People's Republic of"
Norway,Norway,Norway,Norway
Oman,Oman,Oman,Oman
Pakistan,Pakistan,Pakistan,Pakistan
Panama,Panama,Panama,Panama
Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua New Guinea
Paraguay,Paraguay,Paraguay,Paraguay
Peru,Peru,Peru,Peru
Philippines,Philippines,Philippines,Philippines
Poland,Poland,Poland,Poland
Portugal,Portugal,Portugal,Portugal
Puerto Rico,Puerto Rico,Puerto Rico,Puerto Rico
Qatar,Qatar,Qatar,Qatar
Republic of the Congo,Congo,"Congo, Republic of the",Congo
Romania,Romania,Romania,Romania
Russia,Russian Federation,Russia,Russian Federation
Rwanda,Rwanda,Rwanda,Rwanda
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa,Samoa,Samoa
San Marino,San Marino,San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
Senegal,Senegal,Senegal,Senegal
Serbia,Serbia and Kosovo (S/RES/1244 (1999)),Serbia,Serbia
Seychelles,Seychelles,Seychelles,Seychelles
Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone
Singapore,Singapore,Singapore,Singapore
Slovakia,Slovakia,Slovakia,Slovakia
Slovenia,Slovenia,Slovenia,Slovenia
Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands
Somalia,Somalia,Somalia,Somalia
South Africa,South Africa,South Africa,South Africa
South Korea,Rep. of Korea,"Korea, South","Korea, Republic of"
South Sudan,South Sudan,South Sudan,South Sudan
Spain,Spain,Spain,Spain
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
Sudan,Sudan,Sudan,Sudan
Suriname,Suriname,Suriname,Suriname
Swaziland,Swaziland,Swaziland,Swaziland
Sweden,Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland,Switzerland
Syria,Syrian Arab Rep.,Syria,Syrian Arab Republic
Tajikistan,Tajikistan,Tajikistan,Tajikistan
Tanzania,United Rep. of Tanzania,Tanzania,United Rep. of Tanzania
Thailand,Thailand,Thailand,Thailand
Timor-Leste,Timor-Leste,Timor-Leste,Timor-Leste
Togo,Togo,Togo,Togo
Tonga,Tonga,Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia,Tunisia,Tunisia
Turkey,Turkey,Turkey,Turkey
Turkey,Turkey,Turkey,Turkey
Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu,Tuvalu,Tuvalu
Uganda,Uganda,Uganda,Uganda
Ukraine,Ukraine,Ukraine,Ukraine
United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom of Great Britain and Northern Ireland,United Kingdom,United Kingdom
United States,USA (EOIR),United States,United States
United States,USA (INS/DHS),United States,United States
United States,United States of America,United States,United States
Uruguay,Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
Venezuela,Venezuela (Bolivarian Republic of),Venezuela,Venezuela (Bolivarian Republic of)
Vietnam,Viet Nam,Vietnam,Viet Nam
Western Sahara,Western Sahara,Western Sahara,Western Sahara
Yemen,Yemen,Yemen,Yemen
Zambia,Zambia,Zambia,Zambia
Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
Palestine,Palestinian,,"Palestine, State of"
,Stateless,,
,Tibetan,,
,Various/unknown,,
,Rep. of Moldova,Moldova,"Moldova, Republic of"
