Timestamp,Job title,Company,City
7/16/2015 21:19,Interactive news developer,Financial Times,"London, UK"
7/16/2015 22:15,Designer,NPR,"Washington, DC"
7/16/2015 22:21,News applications developer,Huffington Post,"New York, NY"
7/16/2015 22:27,Data Journalist,Huffington Post,"New York, NY"
7/16/2015 22:31,Data and Interactives editor,Huffington Post,"New York, NY"
7/20/2015 11:09,General Assignment Data Reporter,Sun Sentinel,Fort Lauderdale FL
7/21/2015 10:36,Dataviz Designer,Vocativ,New York
7/21/2015 11:50,Interactive Graphic Journalist,Bloomberg,"New York, NY"
7/22/2015 14:43,Graphics journalist,The New York Times,New York City
7/24/2015 10:51,Digital Cartographer Developer,The Wall Street Journal,"New York, NY"
7/24/2015 11:06,Developer Journalist/News App Developer,The Wall Street Journal,"New York, NY"
7/24/2015 11:09,Digital Designer,The Wall Street Journal,"New York, NY"
7/24/2015 11:11,Multimedia Editor,The Wall Street Journal,"New York, NY"
7/28/2015 15:52,Computational Journalist,The Dallas Morning News,Dallas
7/30/2015 16:29,Interactive Editor,The Dallas Morning News,Dallas
8/5/2015 14:44,Lead developer,California Civic Data Coalition,California
8/10/2015 19:55,Producer,Global News," 	Don Mills, Ontario, Canada"
8/11/2015 19:47,Visual Journalist,FiveThirtyEight,"New York, NY"
8/11/2015 19:52,Data Journalist,The Guardian,"London,"
8/11/2015 19:57,News Researcher,Wall Street Journal,New York
8/11/2015 20:02,Interactive data journalist,Raycom Media,"Montgomery, Alabama"
8/12/2015 22:30,Research Scientist,University of Maryland,"College Park, Maryland"
8/12/2015 23:00,Knight-Mozilla Fellow,Knight-Mozilla OpenNews,Various
8/13/2015 12:07,Multimedia Designer,South Florida Sun Sentinel,"Fort Lauderdale, FL"
8/13/2015 12:23,Investigative reporter,Midwest Center for Investigative Reporting,"Champaign, Illinois"
8/18/2015 8:40,Senior Engineer,The Wirecutter,Remote
8/21/2015 8:16,Visual Journalist,Newsweek,New York City
8/25/2015 14:58,Data Editor Reporter,Reuters,New York
8/28/2015 15:29,Data Editor,The Chicago Reporter,"Chicago, IL"
9/3/2015 16:22,Graphics content editor,The Globe and Mail,Toronto
9/3/2015 18:00,Data Reporter,Reuters,"New York, NY"
9/16/2015 11:15,Professor of Political Communications,University of Iowa,"Iowa City, IA"
9/16/2015 11:19,Visiting Assistant Professor of Journalism,University of Iowa,"Iowa City, IA"
9/16/2015 14:46,California Health Data Fellowship,USC Annenberg,CA
