CountyID,CountyName,Population5Over,PercentSpeakOnlyEnglish,PercentSpeakOnlyEnglishMarginOfError
1001,"Autauga County, Alabama",51418,96.5,0.7
1003,"Baldwin County, Alabama",175830,94.5,0.6
1005,"Barbour County, Alabama",25730,95,0.9
1007,"Bibb County, Alabama",21464,97.9,0.7
1009,"Blount County, Alabama",53992,92.7,0.7
1011,"Bullock County, Alabama",10067,94.8,2.8
1013,"Butler County, Alabama",19332,98.3,0.6
1015,"Calhoun County, Alabama",110672,95.5,0.5
1017,"Chambers County, Alabama",32144,98.7,0.4
1019,"Cherokee County, Alabama",24652,98.9,0.3
1021,"Chilton County, Alabama",40790,92.6,0.7
1023,"Choctaw County, Alabama",12971,98.7,0.6
1025,"Clarke County, Alabama",24086,98.7,0.6
1027,"Clay County, Alabama",12974,96.7,0.8
1029,"Cleburne County, Alabama",14043,97.7,1.2
1031,"Coffee County, Alabama",47140,92.5,0.8
1033,"Colbert County, Alabama",51350,97.4,0.4
1035,"Conecuh County, Alabama",12316,97.8,1.5
1037,"Coosa County, Alabama",10665,96.7,1
1039,"Covington County, Alabama",35592,97.9,0.4
1041,"Crenshaw County, Alabama",13079,96.8,0.4
1043,"Cullman County, Alabama",75594,95.4,0.6
1045,"Dale County, Alabama",46611,93.7,1
1047,"Dallas County, Alabama",40085,98.7,0.4
1049,"DeKalb County, Alabama",66354,88.8,0.8
1051,"Elmore County, Alabama",75100,96.4,0.5
1053,"Escambia County, Alabama",35813,98.6,0.5
1055,"Etowah County, Alabama",98145,96.9,0.5
1057,"Fayette County, Alabama",16173,99.2,0.5
1059,"Franklin County, Alabama",29420,86.8,0.9
1061,"Geneva County, Alabama",25237,97,0.8
1063,"Greene County, Alabama",8397,98.6,0.9
1065,"Hale County, Alabama",14650,97.3,1.2
1067,"Henry County, Alabama",16361,95,1.3
1069,"Houston County, Alabama",95628,95.6,0.4
1071,"Jackson County, Alabama",50208,96.6,0.6
1073,"Jefferson County, Alabama",614784,94.1,0.2
1075,"Lamar County, Alabama",13596,99,0.5
1077,"Lauderdale County, Alabama",87600,97,0.4
1079,"Lawrence County, Alabama",31994,98.1,0.5
1081,"Lee County, Alabama",135736,93.1,0.5
1083,"Limestone County, Alabama",79877,93.6,0.5
1085,"Lowndes County, Alabama",10397,99.3,0.5
1087,"Macon County, Alabama",19737,95.8,1
1089,"Madison County, Alabama",318461,92.9,0.4
1091,"Marengo County, Alabama",19439,98.8,0.8
1093,"Marion County, Alabama",28912,97.5,0.9
1095,"Marshall County, Alabama",87121,88.5,0.7
1097,"Mobile County, Alabama",385198,95,0.3
1099,"Monroe County, Alabama",21380,98.7,0.7
1101,"Montgomery County, Alabama",213195,94.3,0.3
1103,"Morgan County, Alabama",112216,92,0.4
1105,"Perry County, Alabama",9671,99.2,0.5
1107,"Pickens County, Alabama",18354,97.4,0.8
1109,"Pike County, Alabama",31158,94.2,1.3
1111,"Randolph County, Alabama",21516,96.6,1
1113,"Russell County, Alabama",51309,95,0.7
1115,"St. Clair County, Alabama",79038,97.5,0.4
1117,"Shelby County, Alabama",185489,91.7,0.4
1119,"Sumter County, Alabama",12834,98.1,1
1121,"Talladega County, Alabama",77089,97.2,0.4
1123,"Tallapoosa County, Alabama",39010,97.1,0.7
1125,"Tuscaloosa County, Alabama",185067,94.2,0.4
1127,"Walker County, Alabama",62728,98.6,0.3
1129,"Washington County, Alabama",16416,98.1,0.9
1131,"Wilcox County, Alabama",10895,99.1,0.6
1133,"Winston County, Alabama",23052,98.2,0.5
2013,"Aleutians East Borough, Alaska",3083,36.3,10.5
2016,"Aleutians West Census Area, Alaska",5332,52.6,2.5
2020,"Anchorage Municipality, Alaska",273105,82.7,0.6
2050,"Bethel Census Area, Alaska",15477,33.3,2
2060,"Bristol Bay Borough, Alaska",883,94.8,2.1
2068,"Denali Borough, Alaska",1871,89.7,5.5
2070,"Dillingham Census Area, Alaska",4444,60.1,2.5
2090,"Fairbanks North Star Borough, Alaska",90701,89.7,1
2100,"Haines Borough, Alaska",2483,92.1,3.5
2105,"Hoonah-Angoon Census Area, Alaska",2024,86.3,2.9
2110,"Juneau City and Borough, Alaska",29903,90.1,1.1
2122,"Kenai Peninsula Borough, Alaska",52727,91.8,0.8
2130,"Ketchikan Gateway Borough, Alaska",12715,90.2,1.7
2150,"Kodiak Island Borough, Alaska",12736,77.3,2.5
2164,"Lake and Peninsula Borough, Alaska",1311,84.2,3.7
2170,"Matanuska-Susitna Borough, Alaska",84614,93,1
2180,"Nome Census Area, Alaska",8588,71.3,1.8
2185,"North Slope Borough, Alaska",8724,64,3
2188,"Northwest Arctic Borough, Alaska",6760,66.1,2.1
2195,"Petersburg Census Area, Alaska",3484,90.3,5.1
2198,"Prince of Wales-Hyder Census Area, Alaska",5262,95.2,1.3
2220,"Sitka City and Borough, Alaska",8316,86.7,2.5
2230,"Skagway Municipality, Alaska",966,87.8,10.7
2240,"Southeast Fairbanks Census Area, Alaska",6553,76.6,4
2261,"Valdez-Cordova Census Area, Alaska",9101,91.1,2.1
2270,"Wade Hampton Census Area, Alaska",6701,50,2
2275,"Wrangell City and Borough, Alaska",2324,94,3.1
2282,"Yakutat City and Borough, Alaska",578,80.4,9
2290,"Yukon-Koyukuk Census Area, Alaska",5188,82.7,1.5
4001,"Apache County, Arizona",66108,43,1.2
4003,"Cochise County, Arizona",122667,72.6,0.8
4005,"Coconino County, Arizona",126061,76.5,0.8
4007,"Gila County, Arizona",50237,85.6,1.2
4009,"Graham County, Arizona",34087,79.9,1.5
