Year,Generation,Console,Price,MedianIncome15to24,NumberConsolesAfford,PriceSource
1977,2,Atari 2600,199,2725,14,https://en.wikipedia.org/wiki/Atari_2600
1979,2,Magnavox Odyssey^2,179,3459,19,https://en.wikipedia.org/wiki/Magnavox_Odyssey%C2%B2
1980,2,Intellivision,299,3769,13,https://en.wikipedia.org/wiki/Intellivision
1982,2,ColecoVision,189,3806,20,https://en.wikipedia.org/wiki/ColecoVision
1982,2,Atatri 5200,269,3806,14,http://vgsales.wikia.com/wiki/Launch_price
1985,3,Nintendo Entertainment System,89.99,4328,48,https://en.wikipedia.org/wiki/Nintendo_Entertainment_System
1986,3,Sega Master System,200,4610,23,https://en.wikipedia.org/wiki/Master_System
1989,4,Sega Genesis,189,5409,29,http://vgsales.wikia.com/wiki/Launch_price
1989,4,TurboGrafx-16,399.99,5409,14,https://en.wikipedia.org/wiki/TurboGrafx-16
1991,4,Super Nintendo Entertainment System,199,5711,29,http://vgsales.wikia.com/wiki/Launch_price
1991,4,Philips CD-i,700,5711,8,https://en.wikipedia.org/wiki/Philips_CD-i
1995,5,PlayStation,299,6071,20,https://en.wikipedia.org/wiki/PlayStation_(console)
1995,5,Sega Saturn,399,6071,15,https://en.wikipedia.org/wiki/Sega_Saturn
1996,5,Nintendo 64,199.99,6403,32,https://en.wikipedia.org/wiki/Nintendo_64
1999,6,Sega Dreamcast,199,7348,37,https://en.wikipedia.org/wiki/Dreamcast
2000,6,PlayStation 2,299,8371,28,http://vgsales.wikia.com/wiki/Launch_price
2001,6,Xbox,299,8329,28,http://vgsales.wikia.com/wiki/Launch_price
2001,6,GameCube,199,8329,42,http://vgsales.wikia.com/wiki/Launch_price
2005,7,Xbox 360,299,9294,31,https://en.wikipedia.org/wiki/List_of_Xbox_360_retail_configurations
2006,7,Wii,249,9906,40,http://vgsales.wikia.com/wiki/Launch_price
2006,7,PlayStation 3,499,9906,20,https://en.wikipedia.org/wiki/PlayStation_3
2012,8,Wii U,299,10244,34,https://en.wikipedia.org/wiki/Wii_U
2013,8,Xbox One,499,10678,21,https://en.wikipedia.org/wiki/Xbox_One
2013,8,PlayStation 4,399.99,10678,27,https://en.wikipedia.org/wiki/PlayStation_4
