Year,Month,Date,Album,Artist,Label,Genre,AlbumURL,AlbumImageURL
1945,3,24,King Cole Trio,King Cole Trio,Capitol,jazz,https://en.wikipedia.org/wiki/The_King_Cole_Trio_(album),https://upload.wikimedia.org/wikipedia/en/1/1a/TheKingColeTrio.jpg
1945,9,15,Boogie Woogie,Freddie Slack,Capitol,,,
1945,9,22,Boogie Woogie,Freddie Slack,Capitol,,,
1958,5,26,South Pacific,Soundtrack,RCA Records,show tunes,https://en.wikipedia.org/wiki/South_Pacific_(soundtrack),
1965,9,11,Help!,The Beatles,Parlophone,rock,https://en.wikipedia.org/wiki/Help!_(album),https://upload.wikimedia.org/wikipedia/en/3/3d/Help.jpg
1965,9,18,Help!,The Beatles,Parlophone,rock,https://en.wikipedia.org/wiki/Help!_(album),https://upload.wikimedia.org/wikipedia/en/3/3d/Help.jpg
1965,9,25,Help!,The Beatles,Parlophone,rock,https://en.wikipedia.org/wiki/Help!_(album),https://upload.wikimedia.org/wikipedia/en/3/3d/Help.jpg
1965,9,11,Help!,Soundtrack,Parlophone,rock,https://en.wikipedia.org/wiki/Help!_(album),https://upload.wikimedia.org/wikipedia/en/3/3d/Help.jpg
1965,9,18,Help!,Soundtrack,Parlophone,rock,https://en.wikipedia.org/wiki/Help!_(album),https://upload.wikimedia.org/wikipedia/en/3/3d/Help.jpg
1965,9,25,Help!,Soundtrack,Parlophone,rock,https://en.wikipedia.org/wiki/Help!_(album),https://upload.wikimedia.org/wikipedia/en/3/3d/Help.jpg
1991,6,22,Niggaz4Life,N.W.A.,Ruthless,,https://en.wikipedia.org/wiki/Niggaz4Life,https://upload.wikimedia.org/wikipedia/en/6/64/NWA-Efil.jpg
1991,6,22,Niggaz4Life,N.W.A.,Priority,,https://en.wikipedia.org/wiki/Niggaz4Life,https://upload.wikimedia.org/wikipedia/en/6/64/NWA-Efil.jpg
1991,6,29,Slave to the Grind,Skid Row,Atlantic,heavy metal,https://en.wikipedia.org/wiki/Slave_to_the_Grind,https://upload.wikimedia.org/wikipedia/en/e/ec/Skidrow-slavecover.jpg
2016,5,14,Lemonade,Beyoncé,Parkwood,r&b,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Parkwood,pop,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Parkwood,hip hop ,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Parkwood,blues,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Parkwood,rock,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Parkwood,soul,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Parkwood,funk,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Parkwood,country,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Parkwood,gospel,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Parkwood,trap,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,r&b,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,pop,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,hip hop ,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,blues,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,rock,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,soul,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,funk,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,country,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,gospel,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,14,Lemonade,Beyoncé,Columbia,trap,https://en.wikipedia.org/wiki/Lemonade_(Beyonc%C3%A9_album),https://upload.wikimedia.org/wikipedia/en/5/53/Beyonce_-_Lemonade_%28Official_Album_Cover%29.png
2016,5,21,Views,Drake,OVO Sound,hip hop ,https://en.wikipedia.org/wiki/Views_(album),https://upload.wikimedia.org/wikipedia/en/6/64/Drakeviewsfromthe6.jpg
