"Year","Albums"
"1945","8"
"1946","12"
"1947","7"
"1948","12"
"1949","6"
"1950","5"
"1951","7"
"1952","8"
"1953","5"
"1954","6"
"1955","6"
"1956","9"
"1957","7"
"1958","13"
"1959","10"
"1960","8"
"1961","12"
"1962","6"
"1963","10"
"1964","6"
"1965","8"
"1966","12"
"1967","7"
"1968","12"
"1969","10"
"1970","11"
"1971","11"
"1972","12"
"1973","18"
"1974","23"
"1975","20"
"1976","11"
"1977","7"
"1978","9"
"1979","11"
"1980","12"
"1981","11"
"1982","10"
"1983","6"
"1984","5"
"1985","14"
"1986","15"
"1987","9"
"1988","11"
"1989","15"
"1990","8"
"1991","14"
"1992","12"
"1993","16"
"1994","23"
"1995","22"
"1996","22"
"1997","29"
"1998","17"
"1999","25"
"2000","20"
"2001","26"
"2002","25"
"2003","34"
"2004","29"
"2005","34"
"2006","40"
"2007","37"
"2008","38"
"2009","37"
"2010","31"
"2011","31"
"2012","32"
"2013","44"
"2014","33"
"2015","39"
"2016","14"
