Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Estimate; Speak only English,Total; Margin of Error; Speak only English
0500000US21237,21237,"Wolfe County, Kentucky",6825,100,0.4
0500000US31075,31075,"Grant County, Nebraska",586,100,3.4
0500000US31149,31149,"Rock County, Nebraska",1391,100,1.4
0500000US31183,31183,"Wheeler County, Nebraska",823,100,2.4
0500000US48301,48301,"Loving County, Texas",87,100,33.4
0500000US28055,28055,"Issaquena County, Mississippi",1290,99.9,0.2
0500000US05013,5013,"Calhoun County, Arkansas",5005,99.7,0.6
0500000US28097,28097,"Montgomery County, Mississippi",10041,99.7,0.2
0500000US30109,30109,"Wibaux County, Montana",894,99.7,0.6
0500000US05147,5147,"Woodruff County, Arkansas",6756,99.5,0.4
0500000US21203,21203,"Rockcastle County, Kentucky",16059,99.5,0.3
0500000US47121,47121,"Meigs County, Tennessee",11180,99.5,0.3
0500000US30037,30037,"Golden Valley County, Montana",668,99.4,0.8
0500000US30061,30061,"Mineral County, Montana",4020,99.4,0.4
0500000US54101,54101,"Webster County, West Virginia",8559,99.4,0.5
0500000US21109,21109,"Jackson County, Kentucky",12628,99.3,0.6
0500000US28111,28111,"Perry County, Mississippi",11357,99.3,0.5
0500000US31009,31009,"Blaine County, Nebraska",544,99.3,0.7
0500000US31077,31077,"Greeley County, Nebraska",2354,99.3,0.4
0500000US05117,5117,"Prairie County, Arkansas",8133,99.2,0.5
0500000US30069,30069,"Petroleum County, Montana",512,99.2,0.8
0500000US54015,54015,"Clay County, West Virginia",8789,99.2,0.7
0500000US01131,1131,"Wilcox County, Alabama",10895,99.1,0.6
0500000US28161,28161,"Yalobusha County, Mississippi",11726,99.1,0.6
0500000US29227,29227,"Worth County, Missouri",2021,99.1,1
0500000US54097,54097,"Upshur County, West Virginia",22955,99.1,0.4
0500000US38063,38063,"Nelson County, North Dakota",2975,99,0.5
0500000US21191,21191,"Pendleton County, Kentucky",13863,98.9,0.6
0500000US31113,31113,"Logan County, Nebraska",734,98.9,0.7
0500000US30071,30071,"Phillips County, Montana",3946,98.8,1.3
0500000US29035,29035,"Carter County, Missouri",5819,98.7,0.9
0500000US30033,30033,"Garfield County, Montana",1072,98.7,0.8
0500000US21105,21105,"Hickman County, Kentucky",4585,98.6,1
0500000US30021,30021,"Dawson County, Montana",8624,98.6,0.7
0500000US18171,18171,"Warren County, Indiana",7990,98.4,0.7
0500000US31091,31091,"Hooker County, Nebraska",678,98.4,1.7
0500000US31117,31117,"McPherson County, Nebraska",346,98.3,1.9
0500000US51045,51045,"Craig County, Virginia",4886,98.3,1.6
0500000US51181,51181,"Surry County, Virginia",6562,98.3,1
