Id,City,population2010,population2014
1600000US0107000,"Birmingham, Alabama",212237,212653
1600000US0137000,"Huntsville, Alabama",180105,187592
1600000US0150000,"Mobile, Alabama",195111,194670
1600000US0151000,"Montgomery, Alabama",205764,200486
1600000US0203000,"Anchorage municipality, Alaska",291826,301010
1600000US0412000,"Chandler, Arizona",236123,254275
1600000US0427400,"Gilbert town, Arizona",208453,239282
1600000US0427820,"Glendale, Arizona",226721,237529
1600000US0446000,"Mesa, Arizona",439041,464682
1600000US0454050,"Peoria, Arizona",154065,166955
1600000US0455000,"Phoenix, Arizona",1445632,1537045
1600000US0465000,"Scottsdale, Arizona",217385,230502
1600000US0471510,"Surprise, Arizona",117517,126278
1600000US0473000,"Tempe, Arizona",161719,172836
1600000US0477000,"Tucson, Arizona",520116,527948
1600000US0541000,"Little Rock, Arkansas",193524,197701
1600000US0602000,"Anaheim, California",336265,346961
1600000US0602252,"Antioch, California",102372,108953
1600000US0603526,"Bakersfield, California",347483,368748
1600000US0606000,"Berkeley, California",112580,118851
1600000US0608954,"Burbank, California",103340,105366
1600000US0611194,"Carlsbad, California",105328,112310
1600000US0613392,"Chula Vista, California",243916,260977
1600000US0614218,"Clovis, California",95631,102190
1600000US0616000,"Concord, California",122067,127511
1600000US0616350,"Corona, California",152374,161498
1600000US0616532,"Costa Mesa, California",109960,112793
1600000US0617918,"Daly City, California",101123,106099
1600000US0619766,"Downey, California",111772,114168
1600000US0620802,"East Los Angeles, California",126496,117267
1600000US0621712,"El Cajon, California",99478,103075
1600000US0622020,"Elk Grove, California",153015,163560
1600000US0622230,"El Monte, California",113475,116617
1600000US0622804,"Escondido, California",143911,150252
1600000US0623182,"Fairfield, California",105321,111139
1600000US0624680,"Fontana, California",196069,204953
1600000US0626000,"Fremont, California",214089,228760
1600000US0627000,"Fresno, California",494665,515985
1600000US0628000,"Fullerton, California",135161,139663
1600000US0629000,"Garden Grove, California",170883,175085
1600000US0630000,"Glendale, California",191719,200161
1600000US0633000,"Hayward, California",144186,154633
1600000US0636000,"Huntington Beach, California",189992,200814
1600000US0636546,"Inglewood, California",109673,111901
1600000US0636770,"Irvine, California",212375,248521
1600000US0640130,"Lancaster, California",156633,161036
1600000US0643000,"Long Beach, California",462257,473605
1600000US0644000,"Los Angeles, California",3792621,3928827
1600000US0648354,"Modesto, California",201165,209308
1600000US0649270,"Moreno Valley, California",193365,202978
1600000US0650076,"Murrieta, California",103466,108371
1600000US0652526,"Norwalk, California",105549,107111
1600000US0653000,"Oakland, California",390724,413782
1600000US0653322,"Oceanside, California",167086,174552
1600000US0653896,"Ontario, California",163924,169085
1600000US0653980,"Orange, California",136416,139826
1600000US0654652,"Oxnard, California",197899,205434
1600000US0655156,"Palmdale, California",152750,158274
1600000US0656000,"Pasadena, California",137122,140860
1600000US0658072,"Pomona, California",149058,153381
1600000US0659451,"Rancho Cucamonga, California",165269,174302
1600000US0660466,"Rialto, California",99171,102740
1600000US0660620,"Richmond, California",103701,108562
1600000US0662000,"Riverside, California",303871,319519
1600000US0662938,"Roseville, California",118788,128593
1600000US0664000,"Sacramento, California",466488,485193
1600000US0664224,"Salinas, California",150441,156678
1600000US0665000,"San Bernardino, California",209924,215227
1600000US0665042,"San Buenaventura (Ventura), California",106433,109478
1600000US0666000,"San Diego, California",1307402,1381083
1600000US0667000,"San Francisco, California",805235,852469
1600000US0668000,"San Jose, California",945942,1015796
1600000US0668252,"San Mateo, California",97207,102885
1600000US0669000,"Santa Ana, California",324528,334924
1600000US0669084,"Santa Clara, California",116468,122198
1600000US0669088,"Santa Clarita, California",176320,181559
1600000US0669196,"Santa Maria, California",99553,103414
1600000US0670098,"Santa Rosa, California",167815,174166
1600000US0672016,"Simi Valley, California",124237,126873
1600000US0675000,"Stockton, California",291707,302405
1600000US0677000,"Sunnyvale, California",140081,149984
1600000US0678120,"Temecula, California",100097,109446
1600000US0678582,"Thousand Oaks, California",126683,129344
1600000US0680000,"Torrance, California",145438,148483
1600000US0681666,"Vallejo, California",115942,120210
1600000US0682590,"Victorville, California",115903,121911
1600000US0682954,"Visalia, California",124442,129280
1600000US0684200,"West Covina, California",106098,108445
1600000US0803455,"Arvada, Colorado",106433,113775
1600000US0804000,"Aurora, Colorado",325078,353381
1600000US0807850,"Boulder, Colorado",97385,105101
1600000US0816000,"Colorado Springs, Colorado",416427,445820
1600000US0820000,"Denver, Colorado",600158,663862
1600000US0827425,"Fort Collins, Colorado",143986,156473
1600000US0836410,"Highlands Ranch, Colorado",96713,100192
1600000US0843000,"Lakewood, Colorado",142980,149650
1600000US0862000,"Pueblo, Colorado",106595,108439
1600000US0877290,"Thornton, Colorado",118772,130309
1600000US0883835,"Westminster, Colorado",106114,112099
1600000US0908000,"Bridgeport, Connecticut",144229,147608
1600000US0937000,"Hartford, Connecticut",124775,124721
1600000US0952000,"New Haven, Connecticut",129779,130285
1600000US0973000,"Stamford, Connecticut",122643,128283
1600000US0980000,"Waterbury, Connecticut",110366,109311
1600000US1150000,"Washington, District of Columbia",601723,658893
1600000US1208150,"Brandon, Florida",103483,105125
1600000US1210275,"Cape Coral, Florida",154305,169855
1600000US1212875,"Clearwater, Florida",107685,110709
1600000US1214400,"Coral Springs, Florida",121096,127963
1600000US1224000,"Fort Lauderdale, Florida",165521,176018
1600000US1225175,"Gainesville, Florida",124354,128474
1600000US1230000,"Hialeah, Florida",224669,235566
1600000US1232000,"Hollywood, Florida",140768,148040
1600000US1235000,"Jacksonville, Florida",821784,853376
1600000US1238250,"Lakeland, Florida",97422,102335
1600000US1239925,"Lehigh Acres, Florida",86784,111416
1600000US1245000,"Miami, Florida",399457,430341
1600000US1245975,"Miramar, Florida",122041,134991
1600000US1253000,"Orlando, Florida",238300,262396
1600000US1254000,"Palm Bay, Florida",103190,105845
1600000US1255775,"Pembroke Pines, Florida",154750,164625
1600000US1258050,"Pompano Beach, Florida",99845,106115
1600000US1258715,"Port St. Lucie, Florida",164603,174093
1600000US1263000,"St. Petersburg, Florida",244769,253682
1600000US1270600,"Tallahassee, Florida",181376,188106
1600000US1271000,"Tampa, Florida",335709,358684
1600000US1276600,"West Palm Beach, Florida",99919,104017
1600000US1303440,"Athens-Clarke County (balance), Georgia",115452,119841
1600000US1304000,"Atlanta, Georgia",420003,456012
1600000US1304204,"Augusta-Richmond County (balance), Georgia",195844,197465
1600000US1368516,"Sandy Springs, Georgia",93853,101914
1600000US1369000,"Savannah, Georgia",136286,144355
1600000US1608830,"Boise City, Idaho",205671,216280
1600000US1703012,"Aurora, Illinois",197899,200708
1600000US1714000,"Chicago, Illinois",2695598,2722407
1600000US1723074,"Elgin, Illinois",108188,116548
1600000US1738570,"Joliet, Illinois",147433,146578
1600000US1751622,"Naperville, Illinois",141853,145396
1600000US1759000,"Peoria, Illinois",115007,117288
1600000US1765000,"Rockford, Illinois",152871,148996
1600000US1772000,"Springfield, Illinois",116250,116649
1600000US1822000,"Evansville, Indiana",117429,121299
1600000US1825000,"Fort Wayne, Indiana",253691,256023
1600000US1836003,"Indianapolis  (balance), Indiana",820445,851353
1600000US1871000,"South Bend, Indiana",101168,103019
1600000US1912000,"Cedar Rapids, Iowa",126326,129183
1600000US1919000,"Davenport, Iowa",99685,102431
1600000US1921000,"Des Moines, Iowa",203433,209064
1600000US2036000,"Kansas City, Kansas",145786,148323
1600000US2052575,"Olathe, Kansas",125872,133059
1600000US2053775,"Overland Park, Kansas",173372,184524
1600000US2071000,"Topeka, Kansas",127473,127223
1600000US2079000,"Wichita, Kansas",382368,388413
1600000US2146027,"Lexington-Fayette, Kentucky",295803,310797
1600000US2205000,"Baton Rouge, Louisiana",229493,228909
1600000US2240735,"Lafayette, Louisiana",120623,126068
1600000US2250115,"Metairie, Louisiana",138481,144239
1600000US2255000,"New Orleans, Louisiana",343829,384320
1600000US2270000,"Shreveport, Louisiana",199311,197979
1600000US2404000,"Baltimore, Maryland",620961,622793
1600000US2507000,"Boston, Massachusetts",617594,656051
1600000US2511000,"Cambridge, Massachusetts",105162,109699
1600000US2537000,"Lowell, Massachusetts",106519,109931
1600000US2567000,"Springfield, Massachusetts",153060,153994
1600000US2582000,"Worcester, Massachusetts",181045,183033
1600000US2603000,"Ann Arbor, Michigan",113934,117759
1600000US2622000,"Detroit, Michigan",713777,680281
1600000US2634000,"Grand Rapids, Michigan",188040,193793
1600000US2646000,"Lansing, Michigan",114297,113659
1600000US2676460,"Sterling Heights, Michigan",129699,131729
1600000US2684000,"Warren, Michigan",134056,135099
1600000US2743000,"Minneapolis, Minnesota",382578,407181
1600000US2754880,"Rochester, Minnesota",106769,111398
1600000US2758000,"St. Paul, Minnesota",285068,297644
1600000US2836000,"Jackson, Mississippi",173514,171146
1600000US2915670,"Columbia, Missouri",108500,116892
1600000US2935000,"Independence, Missouri",116830,117503
1600000US2938000,"Kansas City, Missouri",459787,470816
1600000US2965000,"St. Louis, Missouri",319294,317419
1600000US2970000,"Springfield, Missouri",159498,165399
1600000US3006550,"Billings, Montana",104170,108870
1600000US3128000,"Lincoln, Nebraska",258379,273002
1600000US3137000,"Omaha, Nebraska",408958,446618
1600000US3223770,"Enterprise, Nevada",108481,126438
1600000US3231900,"Henderson, Nevada",257729,277458
1600000US3240000,"Las Vegas, Nevada",583756,613590
1600000US3251800,"North Las Vegas, Nevada",216961,230793
1600000US3254600,"Paradise, Nevada",223167,237477
1600000US3260600,"Reno, Nevada",225221,236995
1600000US3268585,"Spring Valley, Nevada",178395,192113
1600000US3271400,"Sunrise Manor, Nevada",189372,189229
1600000US3345140,"Manchester, New Hampshire",109565,110451
1600000US3421000,"Elizabeth, New Jersey",124969,128695
